model,time,zooplankton biomass (Pg C),phytoplankton biomass (Pg C),mixoplankton biomass (Pg C),size mean (μm),exp
5,103.5,0.0390064,0.11245136,0.40144104,30.77201,solar effect
5,104.5,0.18090056,0.190285,0.68312573,59.947956,solar effect
5,105.5,0.19830081,0.17445281,0.61551756,65.02501,solar effect
5,106.5,0.19209608,0.16128378,0.56604564,62.55856,solar effect
5,107.5,0.18314603,0.1519277,0.5299908,59.265827,solar effect
5,108.5,0.17510611,0.14482008,0.5046036,56.785923,solar effect
5,109.5,0.16862896,0.13915116,0.48526156,54.6988,solar effect
5,110.5,0.16270208,0.13424179,0.4688756,52.851234,solar effect
5,111.5,0.1574356,0.12996891,0.454897,51.232845,solar effect
5,112.5,0.15288058,0.12627323,0.44279143,49.785114,solar effect
5,113.5,0.14891641,0.12309504,0.43260708,48.595177,solar effect
5,114.5,0.14549781,0.12038134,0.42397586,47.6043,solar effect
5,115.5,0.1423944,0.117929116,0.41599855,46.66743,solar effect
5,116.5,0.13962685,0.115799725,0.40905726,45.87487,solar effect
5,117.5,0.13711545,0.1137979,0.40269026,45.14033,solar effect
5,118.5,0.13490917,0.11198513,0.39694545,44.440117,solar effect
5,119.5,0.13285759,0.11029018,0.39163265,43.79209,solar effect
5,120.5,0.13098663,0.10873585,0.38676158,43.18994,solar effect
5,121.5,0.12927061,0.10732764,0.38234633,42.65094,solar effect
5,122.5,0.1276655,0.10608876,0.37842798,42.20064,solar effect
5,123.5,0.12614888,0.10493878,0.37488902,41.838715,solar effect
5,124.5,0.1247251,0.10389583,0.37170568,41.53416,solar effect
5,125.5,0.12336254,0.10288715,0.36855936,41.238956,solar effect
5,126.5,0.122226216,0.10196823,0.36581704,40.972794,solar effect
5,127.5,0.12106296,0.10107495,0.36308372,40.721176,solar effect
5,128.5,0.119895905,0.10024148,0.36046138,40.49209,solar effect
5,129.5,0.11879876,0.099460214,0.3580294,40.268772,solar effect
5,130.5,0.1177893,0.09872823,0.35572618,40.053497,solar effect
5,131.5,0.11687042,0.09806447,0.35367167,39.857635,solar effect
5,132.5,0.11600881,0.097445875,0.3517881,39.68636,solar effect
5,133.5,0.11521931,0.09690017,0.35014963,39.554626,solar effect
5,134.5,0.11449067,0.09639464,0.3486061,39.4254,solar effect
5,135.5,0.11384401,0.09594387,0.34724078,39.305527,solar effect
5,136.5,0.113212354,0.095498964,0.34587872,39.18478,solar effect
5,137.5,0.1126001,0.09508015,0.34460905,39.067905,solar effect
5,138.5,0.11199614,0.09468763,0.34342995,38.955822,solar effect
5,139.5,0.11144288,0.0943497,0.34243223,38.869255,solar effect
5,140.5,0.11088135,0.09401213,0.34142578,38.779057,solar effect
5,141.5,0.11032912,0.09367792,0.3404704,38.69466,solar effect
5,142.5,0.109781325,0.09336172,0.33955798,38.618298,solar effect
5,143.5,0.10922401,0.09303562,0.33859915,38.52847,solar effect
5,144.5,0.10867721,0.09270516,0.33762798,38.432526,solar effect
5,145.5,0.10815921,0.09238781,0.33667797,38.343025,solar effect
5,146.5,0.10765049,0.092072815,0.3357009,38.24364,solar effect
5,147.5,0.107163474,0.09177421,0.33478808,38.154213,solar effect
5,148.5,0.10668736,0.0914882,0.33394238,38.076523,solar effect
5,149.5,0.106234595,0.091215804,0.333132,37.999146,solar effect
5,199.5,0.09915372,0.086212575,0.31752187,36.76603,solar effect
6,0.5,0.10015385,0.08929633,0.30355453,38.682323,solar effect
6,99.5,0.09210588,0.08051182,0.2978494,33.870495,solar effect
6,100.5,0.05023507,0.041613743,0.15566835,33.492584,solar effect
6,101.5,4.1078192e-07,1.9974959e-07,1.0036507e-06,65.68738,solar effect
6,102.5,1.5535318e-11,2.4288166e-10,2.4969943e-10,20.984835,solar effect
6,103.5,5.4944867e-05,0.001985588,0.0067534503,19.291065,solar effect
6,104.5,0.026300011,0.087344944,0.32667547,25.94757,solar effect
6,105.5,0.18057372,0.21255985,0.77761614,65.91936,solar effect
6,106.5,0.21903996,0.20217438,0.71589696,73.91385,solar effect
6,107.5,0.21970192,0.18613666,0.6494849,70.353294,solar effect
6,108.5,0.2104088,0.1736362,0.60257876,66.70221,solar effect
6,109.5,0.20199883,0.16470516,0.56839526,63.432076,solar effect
6,110.5,0.19466153,0.15799405,0.5444384,61.197906,solar effect
6,111.5,0.1881516,0.1520907,0.5242901,59.11845,solar effect
6,112.5,0.18215224,0.14706442,0.5077668,57.344574,solar effect
6,113.5,0.17683001,0.14262573,0.49348143,55.797146,solar effect
6,114.5,0.1722649,0.13887852,0.48123178,54.40489,solar effect
6,115.5,0.1680022,0.13553652,0.4702255,53.191658,solar effect
6,116.5,0.16407979,0.13243008,0.4601138,52.04487,solar effect
6,117.5,0.16040552,0.1295678,0.45097268,51.01724,solar effect
6,118.5,0.15703157,0.12691505,0.442586,50.058357,solar effect
6,119.5,0.1539817,0.124494806,0.435058,49.199383,solar effect
6,120.5,0.15118524,0.12229302,0.42827463,48.426857,solar effect
6,121.5,0.14861912,0.12030328,0.42213273,47.732193,solar effect
6,122.5,0.14625195,0.1185099,0.41659507,47.112015,solar effect
6,123.5,0.14406858,0.11687556,0.41157886,46.572186,solar effect
6,124.5,0.14210674,0.11543309,0.40713024,46.122757,solar effect
6,125.5,0.14023128,0.11405696,0.40292805,45.689724,solar effect
6,126.5,0.13844994,0.11277537,0.39898324,45.28796,solar effect
6,127.5,0.13668928,0.11151154,0.39501482,44.889084,solar effect
6,128.5,0.13504392,0.11032577,0.39143515,44.539696,solar effect
6,129.5,0.13345575,0.10920174,0.38801593,44.211315,solar effect
6,130.5,0.13195571,0.108091995,0.38454843,43.8401,solar effect
6,131.5,0.130481,0.10701842,0.38118315,43.462822,solar effect
6,132.5,0.12912524,0.10605118,0.37822506,43.1502,solar effect
6,133.5,0.12784319,0.1051398,0.37547117,42.863754,solar effect
6,134.5,0.12664142,0.104315914,0.37296993,42.599728,solar effect
6,135.5,0.1255548,0.103593364,0.37082767,42.406536,solar effect
